"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"2019"	"2019"	"Clinton County, OH"	"39027"	19	33528	Unreliable	34.1	88.5	13.0	0.1%
	"2019"	"2019"	"Columbiana County, OH"	"39029"	47	83814	56.1	41.2	74.6	8.2	0.2%
	"2019"	"2019"	"Crawford County, OH"	"39033"	12	33561	Unreliable	18.5	62.5	10.3	0.1%
	"2019"	"2019"	"Cuyahoga County, OH"	"39035"	504	1010174	49.9	45.5	54.2	2.2	2.3%
	"2019"	"2019"	"Darke County, OH"	"39037"	10	40431	Unreliable	11.9	45.5	7.8	0.0%
	"2019"	"2019"	"Delaware County, OH"	"39041"	28	161645	17.3	11.5	25.0	3.3	0.1%
	"2019"	"2019"	"Erie County, OH"	"39043"	16	61129	Unreliable	15.0	42.5	6.5	0.1%
	"2019"	"2019"	"Fairfield County, OH"	"39045"	37	124557	29.7	20.9	40.9	4.9	0.2%
	"2019"	"2019"	"Fayette County, OH"	"39047"	11	22609	Unreliable	24.3	87.1	14.7	0.1%
	"2019"	"2019"	"Franklin County, OH"	"39049"	592	1041810	56.8	52.2	61.4	2.3	2.7%
	"2019"	"2019"	"Gallia County, OH"	"39053"	23	23840	96.5	61.2	144.8	20.1	0.1%
	"2019"	"2019"	"Geauga County, OH"	"39055"	23	75437	30.5	19.3	45.7	6.4	0.1%
	"2019"	"2019"	"Greene County, OH"	"39057"	42	138166	30.4	21.9	41.1	4.7	0.2%
	"2019"	"2019"	"Guernsey County, OH"	"39059"	16	31313	Unreliable	29.2	83.0	12.8	0.1%
	"2019"	"2019"	"Hamilton County, OH"	"39061"	379	650390	58.3	52.4	64.1	3.0	1.7%
	"2019"	"2019"	"Hancock County, OH"	"39063"	17	61035	Unreliable	16.2	44.6	6.8	0.1%
	"2019"	"2019"	"Hardin County, OH"	"39065"	11	24973	Unreliable	22.0	78.8	13.3	0.1%
	"2019"	"2019"	"Highland County, OH"	"39071"	16	34228	Unreliable	26.7	75.9	11.7	0.1%
	"2019"	"2019"	"Huron County, OH"	"39077"	28	45932	61.0	40.5	88.1	11.5	0.1%
	"2019"	"2019"	"Jackson County, OH"	"39079"	10	25538	Unreliable	18.8	72.0	12.4	0.0%
	"2019"	"2019"	"Jefferson County, OH"	"39081"	26	54286	47.9	31.3	70.2	9.4	0.1%
	"2019"	"2019"	"Knox County, OH"	"39083"	11	49870	Unreliable	11.0	39.5	6.7	0.1%
	"2019"	"2019"	"Lake County, OH"	"39085"	81	190526	42.5	33.8	52.8	4.7	0.4%
	"2019"	"2019"	"Lawrence County, OH"	"39087"	26	48151	54.0	35.3	79.1	10.6	0.1%
	"2019"	"2019"	"Licking County, OH"	"39089"	55	140972	39.0	29.4	50.8	5.3	0.3%
	"2019"	"2019"	"Logan County, OH"	"39091"	12	36382	Unreliable	17.0	57.6	9.5	0.1%
	"2019"	"2019"	"Lorain County, OH"	"39093"	118	250472	47.1	38.6	55.6	4.3	0.5%
	"2019"	"2019"	"Lucas County, OH"	"39095"	242	340797	71.0	62.1	80.0	4.6	1.1%
	"2019"	"2019"	"Madison County, OH"	"39097"	20	36776	54.4	33.2	84.0	12.2	0.1%
	"2019"	"2019"	"Mahoning County, OH"	"39099"	109	188755	57.7	46.9	68.6	5.5	0.5%
	"2019"	"2019"	"Marion County, OH"	"39101"	31	52991	58.5	39.7	83.0	10.5	0.1%
	"2019"	"2019"	"Medina County, OH"	"39103"	23	145312	15.8	10.0	23.7	3.3	0.1%
	"2019"	"2019"	"Meigs County, OH"	"39105"	10	18691	Unreliable	25.7	98.4	16.9	0.0%
	"2019"	"2019"	"Miami County, OH"	"39109"	25	85339	29.3	19.0	43.2	5.9	0.1%
	"2019"	"2019"	"Montgomery County, OH"	"39113"	281	428279	65.6	57.9	73.3	3.9	1.3%
	"2019"	"2019"	"Morrow County, OH"	"39117"	14	28439	Unreliable	26.9	82.6	13.2	0.1%
	"2019"	"2019"	"Muskingum County, OH"	"39119"	37	69015	53.6	37.7	73.9	8.8	0.2%
	"2019"	"2019"	"Ottawa County, OH"	"39123"	11	34174	Unreliable	16.1	57.6	9.7	0.1%
	"2019"	"2019"	"Perry County, OH"	"39127"	11	28623	Unreliable	19.2	68.8	11.6	0.1%
	"2019"	"2019"	"Pickaway County, OH"	"39129"	25	47547	52.6	34.0	77.6	10.5	0.1%
	"2019"	"2019"	"Pike County, OH"	"39131"	16	22074	Unreliable	41.4	117.7	18.1	0.1%
	"2019"	"2019"	"Portage County, OH"	"39133"	38	136251	27.9	19.7	38.3	4.5	0.2%
	"2019"	"2019"	"Preble County, OH"	"39135"	14	32918	Unreliable	23.3	71.4	11.4	0.1%
	"2019"	"2019"	"Richland County, OH"	"39139"	59	98027	60.2	45.8	77.6	7.8	0.3%
	"2019"	"2019"	"Ross County, OH"	"39141"	40	62356	64.1	45.8	87.4	10.1	0.2%
	"2019"	"2019"	"Sandusky County, OH"	"39143"	17	47201	Unreliable	21.0	57.7	8.7	0.1%
	"2019"	"2019"	"Scioto County, OH"	"39145"	86	60929	141.1	112.9	174.3	15.2	0.4%
	"2019"	"2019"	"Seneca County, OH"	"39147"	13	44706	Unreliable	15.5	49.7	8.1	0.1%
	"2019"	"2019"	"Shelby County, OH"	"39149"	16	38054	Unreliable	24.0	68.3	10.5	0.1%
	"2019"	"2019"	"Stark County, OH"	"39151"	111	301113	36.9	30.0	43.7	3.5	0.5%
	"2019"	"2019"	"Summit County, OH"	"39153"	225	442057	50.9	44.2	57.5	3.4	1.0%
	"2019"	"2019"	"Trumbull County, OH"	"39155"	107	162705	65.8	53.3	78.2	6.4	0.5%
	"2019"	"2019"	"Tuscarawas County, OH"	"39157"	15	73440	Unreliable	11.4	33.7	5.3	0.1%
	"2019"	"2019"	"Union County, OH"	"39159"	14	46165	Unreliable	16.6	50.9	8.1	0.1%
	"2019"	"2019"	"Warren County, OH"	"39165"	48	185077	25.9	19.1	34.4	3.7	0.2%
	"2019"	"2019"	"Washington County, OH"	"39167"	11	49557	Unreliable	11.1	39.7	6.7	0.1%
	"2019"	"2019"	"Wayne County, OH"	"39169"	24	90983	26.4	16.9	39.2	5.4	0.1%
	"2019"	"2019"	"Wood County, OH"	"39173"	27	107311	25.2	16.6	36.6	4.8	0.1%
"Total"	"2019"	"2019"			4425	9409089	47.0	45.6	48.4	0.7	20.4%
"Total"					21728	46780226	46.4	45.8	47.1	0.3	100.0%
"---"
"Dataset: Multiple Cause of Death, 1999-2019"
"Query Parameters:"
"Single-Year Ages: 16 years; 17 years; 18 years; 19 years; 20 years; 21 years; 22 years; 23 years; 24 years; 25 years; 26 years;"
"27 years; 28 years; 29 years; 30 years; 31 years; 32 years; 33 years; 34 years; 35 years; 36 years; 37 years; 38 years; 39"
"years; 40 years; 41 years; 42 years; 43 years; 44 years; 45 years; 46 years; 47 years; 48 years; 49 years; 50 years; 51 years;"
"52 years; 53 years; 54 years; 55 years; 56 years; 57 years; 58 years; 59 years; 60 years; 61 years; 62 years; 63 years; 64"
"years; 65 years; 66 years; 67 years; 68 years; 69 years; 70 years; 71 years; 72 years; 73 years; 74 years; 75 years; 76 years;"
"77 years; 78 years; 79 years; 80 years; 81 years; 82 years; 83 years; 84 years; 85 years; 86 years; 87 years; 88 years; 89"
"years; 90 years; 91 years; 92 years; 93 years; 94 years; 95 years; 96 years; 97 years; 98 years; 99 years; 100+ years"
"States: Ohio (39)"
"UCD - Drug/Alcohol Induced Causes: Drug-induced causes"
"Year/Month: 2015; 2016; 2017; 2018; 2019"
"Group By: Year; County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Oct 27, 2021 10:56:36 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2019 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2019, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Oct 27, 2021 10:56:36 AM"
"---"
Messages:
"1. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"4. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Confidence-Intervals."
"5. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Standard-Errors."
"6. The population figures for year 2019 are bridged-race estimates of the July 1 resident population, from the Vintage 2019"
"postcensal series released by NCHS on July 9, 2020. The population figures for year 2018 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2018 postcensal series released by NCHS on June 25, 2019. The population figures for"
"year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017 postcensal series released by NCHS"
"on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for year 2015 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS on June 28, 2016. The"
"population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the Vintage 2014 postcensal"
"series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The population figures for year 2012 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal series released by NCHS on June 13,"
"2013. Population figures for 2011 are bridged-race estimates of the July 1 resident population, from the county-level postcensal"
"Vintage 2011 series released by NCHS on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population"
"figures for years 2001 - 2009, are bridged-race estimates of the July 1 resident population, from the revised intercensal"
"county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts."
"Population figures for 1999 are from the 1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age"
"Groups are the number of live births. <br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from"
"previously published reports, due to use of the population estimates which were available at the time of release."
